2026-02-07 11:51:28,615 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 11:51:30,308 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 11:51:30,309 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 11:51:30,433 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:51:30,433 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 11:51:30,516 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:51:30,516 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 11:51:30,553 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:51:30,554 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 11:51:30,612 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:51:30,612 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 11:51:30,628 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:51:30,628 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 11:51:30,689 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:51:30,689 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 11:51:30,704 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 11:51:30,704 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 11:51:30,772 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 11:51:30,773 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-07 11:51:30,791 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 11:51:30,792 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-07 11:51:30,854 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
