2026-02-07 11:51:21,277 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:51:22,984 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:51:22,984 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 11:51:23,049 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:51:23,049 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 11:51:23,058 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:51:23,058 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 11:51:23,085 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:51:23,085 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 11:51:23,093 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:51:23,093 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:51:23,124 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:51:23,124 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:51:23,135 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:51:23,135 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:51:23,237 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:51:23,512 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:51:23,512 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:51:23,541 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:51:23,542 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
