2026-02-07 11:51:08,085 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:51:09,532 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:09,533 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 11:51:09,604 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:09,604 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 11:51:09,622 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:09,622 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:51:09,686 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:09,687 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:51:09,704 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:51:09,704 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:51:09,816 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:09,817 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:51:09,837 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:09,837 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
