2026-02-07 11:51:03,880 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:51:05,388 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:51:05,388 | INPUT | INFO | Fill 'input' 'Email' to value 'user_mail@gmail.com'
2026-02-07 11:51:05,451 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:51:05,451 | INPUT | INFO | Checking that 'input' 'Email' has value 'user_mail@gmail.com'
2026-02-07 11:51:05,492 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:51:05,493 | INPUT | INFO | Fill 'input' 'Login input' to value 'username'
2026-02-07 11:51:05,571 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:51:05,572 | INPUT | INFO | Checking that 'input' 'Login input' has value 'username'
2026-02-07 11:51:05,595 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:51:05,596 | INPUT | INFO | Fill 'input' 'Password input' to value 'password123'
2026-02-07 11:51:05,657 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:51:05,657 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password123'
2026-02-07 11:51:05,678 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:51:05,679 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:51:05,784 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:51:05,803 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:51:05,803 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:51:06,028 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:51:06,029 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 11:51:06,056 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:51:06,056 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 11:51:06,072 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:51:06,072 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 11:51:06,094 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:51:06,094 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 11:51:06,111 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:51:06,112 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, username!'
2026-02-07 11:51:06,131 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 11:51:06,131 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:51:06,164 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:51:06,167 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
