2026-02-07 11:51:16,030 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:51:17,490 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-registration-link at index 0
2026-02-07 11:51:17,490 | BASE_ELEMENT | INFO | Clicking button 'Registation'
2026-02-07 11:51:17,569 | BASE_PAGE | INFO | Checking that current url mathes pattern ".*/#/auth/registration"
2026-02-07 11:51:17,591 | BASE_ELEMENT | INFO | Getting locator with data-testid=authentication-ui-course-title-text at index 0
2026-02-07 11:51:17,591 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'UI Course'
2026-02-07 11:51:17,610 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:51:17,610 | BASE_ELEMENT | INFO | Checking  that input 'Login input is visible'
2026-02-07 11:51:17,618 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:51:17,619 | BASE_ELEMENT | INFO | Checking  that input 'Password input is visible'
2026-02-07 11:51:17,632 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:51:17,632 | BASE_ELEMENT | INFO | Checking  that button 'Registration is visible'
2026-02-07 11:51:17,643 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-login-link at index 0
2026-02-07 11:51:17,643 | BASE_ELEMENT | INFO | Checking  that button 'Login is visible'
