2026-02-07 11:51:11,426 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:51:12,389 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:12,389 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 11:51:12,625 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:12,626 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 11:51:12,686 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:12,686 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:51:12,779 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:12,779 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:51:12,811 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:51:12,811 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:51:12,927 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:12,927 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:51:12,951 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:12,951 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
