2026-02-07 11:51:03,879 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:51:05,397 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:05,398 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 11:51:05,456 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:05,456 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 11:51:05,469 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:05,469 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:51:05,525 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:05,525 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:51:05,546 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:51:05,546 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:51:05,653 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:05,653 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:51:05,674 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:05,674 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
