2026-02-07 11:51:06,037 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:51:07,508 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:07,508 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 11:51:07,577 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:51:07,577 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 11:51:07,597 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:07,598 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 11:51:07,688 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:51:07,689 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 11:51:07,701 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:51:07,702 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:51:07,763 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:07,763 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:51:07,778 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:51:07,778 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
