2026-02-07 11:51:25,444 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 11:51:27,022 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:51:27,022 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 11:51:27,045 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:51:27,045 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 11:51:27,052 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:51:27,052 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 11:51:27,057 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:51:27,058 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 11:51:27,063 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 11:51:27,063 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:51:27,069 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:51:27,069 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:51:27,075 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:51:27,075 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 11:51:27,080 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 11:51:27,080 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:51:27,085 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 11:51:27,085 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:51:27,090 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 11:51:27,090 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:51:27,094 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 11:51:27,095 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 11:51:27,099 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 11:51:27,099 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:51:27,104 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 11:51:27,104 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:51:27,109 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 11:51:27,109 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:51:27,114 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 11:51:27,115 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 11:51:27,120 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 11:51:27,120 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:51:27,125 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 11:51:27,125 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 11:51:27,130 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 11:51:27,130 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
2026-02-07 11:51:27,135 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 11:51:27,135 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image is visible'
2026-02-07 11:51:27,139 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 11:51:27,139 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image' has text 'Tap on "Upload image" button to select file'
2026-02-07 11:51:27,145 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-icon at index 0
2026-02-07 11:51:27,145 | BASE_ELEMENT | INFO | Checking  that icon 'Icon image is visible'
2026-02-07 11:51:27,152 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 11:51:27,152 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:51:27,157 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
