"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1894","User login with wrong email or password","LMS system","Sat Feb 07 11:51:15 UTC 2026","passed","Sat Feb 07 11:51:17 UTC 2026","Autherization","Authentification","",""
"","3241","User edit course","LMS system","Sat Feb 07 11:51:35 UTC 2026","passed","Sat Feb 07 11:51:38 UTC 2026","Courses","Courses","",""
"","3182","User create course","LMS system","Sat Feb 07 11:51:35 UTC 2026","passed","Sat Feb 07 11:51:38 UTC 2026","Courses","Courses","",""
"","2128","Check displaying of empty courses list","LMS system","Sat Feb 07 11:51:29 UTC 2026","passed","Sat Feb 07 11:51:31 UTC 2026","Courses","Courses","",""
"","2032","Navigate from login page to registration page","LMS system","Sat Feb 07 11:51:19 UTC 2026","passed","Sat Feb 07 11:51:21 UTC 2026","Autherization","Authentification","",""
"","1991","User registration with correct email and password","LMS system","Sat Feb 07 11:51:17 UTC 2026","passed","Sat Feb 07 11:51:19 UTC 2026","Registration","Authentification","",""
"","2559","User login with correct email and password","LMS system","Sat Feb 07 11:51:08 UTC 2026","passed","Sat Feb 07 11:51:10 UTC 2026","Autherization","Authentification","",""
"","2810","User login with correct email and password","LMS system","Sat Feb 07 11:51:03 UTC 2026","passed","Sat Feb 07 11:51:06 UTC 2026","Autherization","Authentification","",""
"","2660","User create course","LMS system","Sat Feb 07 11:51:25 UTC 2026","passed","Sat Feb 07 11:51:28 UTC 2026","Courses","Courses","",""
"","3423","User edit course","LMS system","Sat Feb 07 11:51:28 UTC 2026","passed","Sat Feb 07 11:51:32 UTC 2026","Courses","Courses","",""
"","1851","Check displaying of dashboard page","LMS system","Sat Feb 07 11:51:41 UTC 2026","passed","Sat Feb 07 11:51:42 UTC 2026","Dashboard","Dashboard","",""
"","1811","User login with wrong email or password","LMS system","Sat Feb 07 11:51:03 UTC 2026","passed","Sat Feb 07 11:51:05 UTC 2026","Autherization","Authentification","",""
"","1620","Navigate from login page to registration page","LMS system","Sat Feb 07 11:51:16 UTC 2026","passed","Sat Feb 07 11:51:17 UTC 2026","Autherization","Authentification","",""
"","1595","Check displaying of empty courses list","LMS system","Sat Feb 07 11:51:23 UTC 2026","passed","Sat Feb 07 11:51:25 UTC 2026","Courses","Courses","",""
"","1756","User login with wrong email or password","LMS system","Sat Feb 07 11:51:06 UTC 2026","passed","Sat Feb 07 11:51:07 UTC 2026","Autherization","Authentification","",""
"","1545","User login with wrong email or password","LMS system","Sat Feb 07 11:51:11 UTC 2026","passed","Sat Feb 07 11:51:12 UTC 2026","Autherization","Authentification","",""
"","1765","User login with wrong email or password","LMS system","Sat Feb 07 11:51:08 UTC 2026","passed","Sat Feb 07 11:51:09 UTC 2026","Autherization","Authentification","",""
"","1844","User login with wrong email or password","LMS system","Sat Feb 07 11:51:13 UTC 2026","passed","Sat Feb 07 11:51:15 UTC 2026","Autherization","Authentification","",""
"","2287","User registration with correct email and password","LMS system","Sat Feb 07 11:51:21 UTC 2026","passed","Sat Feb 07 11:51:23 UTC 2026","Registration","Authentification","",""
"","1955","Check displaying of dashboard page","LMS system","Sat Feb 07 11:51:39 UTC 2026","passed","Sat Feb 07 11:51:41 UTC 2026","Dashboard","Dashboard","",""
