2026-02-07 11:55:20,296 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 11:55:21,686 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 11:55:21,766 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 11:55:21,836 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:55:21,836 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 11:55:21,904 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:55:21,904 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 11:55:21,936 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:55:21,936 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 11:55:21,994 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:55:21,994 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 11:55:22,004 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:55:22,004 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 11:55:22,032 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:55:22,032 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 11:55:22,040 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 11:55:22,040 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 11:55:22,068 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 11:55:22,068 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-07 11:55:22,077 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 11:55:22,077 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-07 11:55:22,109 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 11:55:22,109 | INPUT | INFO | Checking that 'input' 'Input' has value '5'
2026-02-07 11:55:22,123 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 11:55:22,123 | BASE_ELEMENT | INFO | Clicking button 'Create button'
2026-02-07 11:55:22,214 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/courses"
2026-02-07 11:55:22,222 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-menu-button at index 0
