2026-02-07 11:55:15,980 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:55:16,961 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:55:16,961 | INPUT | INFO | Fill 'input' 'Email' to value 'username.test@gmail.com'
2026-02-07 11:55:17,002 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:55:17,003 | INPUT | INFO | Checking that 'input' 'Email' has value 'username.test@gmail.com'
2026-02-07 11:55:17,008 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:55:17,008 | INPUT | INFO | Fill 'input' 'Login input' to value 'Antonio'
2026-02-07 11:55:17,024 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:55:17,024 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Antonio'
2026-02-07 11:55:17,028 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:55:17,028 | INPUT | INFO | Fill 'input' 'Password input' to value '12345678'
2026-02-07 11:55:17,044 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:55:17,044 | INPUT | INFO | Checking that 'input' 'Password input' has value '12345678'
2026-02-07 11:55:17,049 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:55:17,049 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:55:17,122 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:55:17,358 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 11:55:18,789 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:55:18,789 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 11:55:18,834 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:55:18,834 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 11:55:18,851 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:55:18,852 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 11:55:18,866 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:55:18,866 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 11:55:18,884 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 11:55:18,885 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:55:18,895 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:55:18,896 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:55:18,904 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:55:18,904 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 11:55:18,911 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 11:55:18,911 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:55:18,919 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 11:55:18,920 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:55:18,927 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 11:55:18,927 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:55:18,936 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 11:55:18,936 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 11:55:18,944 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 11:55:18,944 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:55:18,951 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 11:55:18,952 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:55:18,958 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 11:55:18,958 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:55:18,964 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 11:55:18,964 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 11:55:18,969 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 11:55:18,969 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:55:18,974 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 11:55:18,974 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 11:55:18,979 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
