2026-02-07 11:55:02,722 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:55:04,361 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:55:04,361 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 11:55:04,463 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:55:04,464 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 11:55:04,479 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:55:04,479 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:55:04,540 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:55:04,540 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:55:04,550 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:55:04,551 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:55:04,648 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:55:04,648 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:55:04,663 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:55:04,665 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
