2026-02-07 11:54:57,340 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:54:58,780 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:54:58,781 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 11:54:58,841 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:54:58,841 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 11:54:58,856 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:54:58,857 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:54:58,895 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:54:58,895 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:54:58,905 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:54:58,905 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:54:58,965 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:54:58,965 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:54:58,971 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:54:58,971 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
