2026-02-07 11:55:12,141 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:55:13,064 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:55:13,064 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 11:55:13,298 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:55:13,299 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 11:55:13,363 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:55:13,363 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 11:55:13,467 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:55:13,467 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 11:55:13,481 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:55:13,481 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:55:13,530 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:55:13,530 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:55:13,551 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:55:13,551 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:55:13,735 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:55:13,760 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:55:13,760 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:55:13,945 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:55:13,945 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
