2026-02-07 11:55:07,361 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:55:08,726 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:55:08,726 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 11:55:08,795 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:55:08,795 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 11:55:08,808 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:55:08,808 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 11:55:08,859 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:55:08,860 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 11:55:08,869 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:55:08,869 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:55:08,901 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:55:08,901 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:55:08,913 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:55:08,913 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:55:08,998 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:55:09,171 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:55:09,171 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:55:09,211 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:55:09,211 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
