2026-02-07 11:54:55,456 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:54:56,875 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:54:56,875 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 11:54:56,918 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:54:56,918 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 11:54:56,925 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:54:56,926 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 11:54:56,976 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:54:56,977 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 11:54:56,996 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:54:56,996 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:54:57,074 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:54:57,074 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:54:57,082 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:54:57,082 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
