2026-02-07 11:54:53,246 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:54:54,674 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:54:54,674 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 11:54:54,782 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:54:54,782 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 11:54:54,811 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:54:54,812 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:54:54,867 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:54:54,867 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:54:54,883 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:54:54,883 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:54:55,000 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:54:55,001 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:54:55,016 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:54:55,016 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
