2026-02-07 11:55:00,549 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:55:02,110 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:55:02,110 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 11:55:02,198 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:55:02,198 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 11:55:02,207 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:55:02,207 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:55:02,240 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:55:02,240 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:55:02,251 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:55:02,251 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:55:02,325 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:55:02,325 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:55:02,338 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:55:02,338 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
