2026-02-07 11:59:25,672 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:59:26,586 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:59:26,586 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 11:59:26,759 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:59:26,759 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 11:59:26,809 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:59:26,809 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 11:59:26,859 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:59:26,859 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 11:59:26,887 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:59:26,887 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:59:26,934 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:59:26,934 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:59:26,950 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:59:26,950 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:59:27,109 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:59:27,174 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:59:27,174 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:27,422 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:59:27,422 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
