2026-02-07 11:59:29,478 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 11:59:31,089 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:59:31,090 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 11:59:31,120 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 11:59:31,121 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 11:59:31,135 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:59:31,135 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 11:59:31,144 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 11:59:31,144 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 11:59:31,153 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 11:59:31,153 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:59:31,160 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:59:31,160 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:31,167 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 11:59:31,167 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 11:59:31,175 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 11:59:31,175 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:59:31,182 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 11:59:31,182 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:59:31,188 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 11:59:31,188 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:31,195 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 11:59:31,195 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 11:59:31,201 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 11:59:31,201 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:59:31,208 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 11:59:31,208 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:59:31,219 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 11:59:31,220 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:31,227 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 11:59:31,227 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 11:59:31,234 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 11:59:31,234 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 11:59:31,240 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 11:59:31,240 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 11:59:31,246 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 11:59:31,246 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
2026-02-07 11:59:31,251 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 11:59:31,252 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image is visible'
2026-02-07 11:59:31,258 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 11:59:31,258 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image' has text 'Tap on "Upload image" button to select file'
2026-02-07 11:59:31,265 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-icon at index 0
2026-02-07 11:59:31,265 | BASE_ELEMENT | INFO | Checking  that icon 'Icon image is visible'
2026-02-07 11:59:31,271 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 11:59:31,271 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 11:59:31,277 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 11:59:31,277 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:31,283 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 11:59:31,283 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'No image selected'
2026-02-07 11:59:31,289 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 11:59:31,289 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
