2026-02-07 11:59:12,050 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:59:13,612 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:59:13,612 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 11:59:13,689 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:59:13,689 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 11:59:13,711 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:59:13,712 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:59:13,777 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:59:13,777 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:59:13,795 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:59:13,795 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:59:13,885 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:59:13,885 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:59:13,906 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:59:13,906 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
