2026-02-07 11:59:09,871 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:59:11,489 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:59:11,489 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 11:59:11,568 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:59:11,569 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 11:59:11,601 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:59:11,601 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 11:59:11,655 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:59:11,656 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 11:59:11,666 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:59:11,666 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:59:11,744 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:59:11,745 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:59:11,773 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:59:11,773 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
