2026-02-07 11:59:32,931 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 11:59:33,945 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 11:59:33,969 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 11:59:34,305 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:59:34,305 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 11:59:34,359 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:59:34,359 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 11:59:34,370 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:59:34,370 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 11:59:34,410 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:59:34,410 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 11:59:34,418 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:59:34,418 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 11:59:34,443 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:59:34,443 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 11:59:34,451 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 11:59:34,452 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 11:59:34,474 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 11:59:34,474 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-07 11:59:34,482 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 11:59:34,482 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-07 11:59:34,507 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 11:59:34,508 | INPUT | INFO | Checking that 'input' 'Input' has value '5'
2026-02-07 11:59:34,515 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 11:59:34,515 | BASE_ELEMENT | INFO | Clicking button 'Create button'
2026-02-07 11:59:34,809 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/courses"
2026-02-07 11:59:34,815 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-menu-button at index 0
2026-02-07 11:59:34,815 | BASE_ELEMENT | INFO | Clicking button 'Menu'
2026-02-07 11:59:34,945 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-edit-menu-item at index 0
2026-02-07 11:59:34,945 | BASE_ELEMENT | INFO | Checking  that button 'Edit course is visible'
2026-02-07 11:59:34,954 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-edit-menu-item at index 0
2026-02-07 11:59:34,954 | BASE_ELEMENT | INFO | Clicking button 'Edit course'
2026-02-07 11:59:35,245 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:59:35,245 | BASE_ELEMENT | INFO | Checking  that input 'Input is visible'
2026-02-07 11:59:35,254 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 11:59:35,254 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 11:59:35,261 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:59:35,261 | BASE_ELEMENT | INFO | Checking  that input 'Input is visible'
2026-02-07 11:59:35,267 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 11:59:35,267 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 11:59:35,273 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:59:35,273 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' is visible
2026-02-07 11:59:35,279 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 11:59:35,279 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 11:59:35,286 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
