2026-02-07 11:59:12,382 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 11:59:13,334 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:59:13,334 | INPUT | INFO | Fill 'input' 'Email' to value 'user_mail@gmail.com'
2026-02-07 11:59:13,576 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 11:59:13,576 | INPUT | INFO | Checking that 'input' 'Email' has value 'user_mail@gmail.com'
2026-02-07 11:59:13,590 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:59:13,590 | INPUT | INFO | Fill 'input' 'Login input' to value 'username'
2026-02-07 11:59:13,644 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:59:13,645 | INPUT | INFO | Checking that 'input' 'Login input' has value 'username'
2026-02-07 11:59:13,661 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:59:13,661 | INPUT | INFO | Fill 'input' 'Password input' to value 'password123'
2026-02-07 11:59:13,736 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:59:13,736 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password123'
2026-02-07 11:59:13,763 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:59:13,763 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 11:59:13,944 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 11:59:13,971 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:59:13,972 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:14,244 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:59:14,244 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
