2026-02-07 11:59:15,492 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:59:16,531 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:59:16,531 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 11:59:16,811 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 11:59:16,811 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 11:59:16,884 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:59:16,884 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 11:59:16,947 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 11:59:16,947 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 11:59:16,965 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 11:59:16,966 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 11:59:17,091 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:59:17,091 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 11:59:17,104 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 11:59:17,104 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
