2026-02-07 11:59:23,208 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 11:59:24,352 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-registration-link at index 0
2026-02-07 11:59:24,353 | BASE_ELEMENT | INFO | Clicking button 'Registation'
2026-02-07 11:59:24,659 | BASE_PAGE | INFO | Checking that current url mathes pattern ".*/#/auth/registration"
2026-02-07 11:59:24,688 | BASE_ELEMENT | INFO | Getting locator with data-testid=authentication-ui-course-title-text at index 0
2026-02-07 11:59:24,688 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'UI Course'
2026-02-07 11:59:24,708 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 11:59:24,708 | BASE_ELEMENT | INFO | Checking  that input 'Login input is visible'
2026-02-07 11:59:24,725 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 11:59:24,725 | BASE_ELEMENT | INFO | Checking  that input 'Password input is visible'
2026-02-07 11:59:24,738 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 11:59:24,738 | BASE_ELEMENT | INFO | Checking  that button 'Registration is visible'
2026-02-07 11:59:24,749 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-login-link at index 0
2026-02-07 11:59:24,749 | BASE_ELEMENT | INFO | Checking  that button 'Login is visible'
