2026-02-07 12:04:30,165 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 12:04:31,667 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 12:04:31,668 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 12:04:31,747 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 12:04:31,747 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 12:04:31,757 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 12:04:31,758 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 12:04:31,837 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 12:04:31,837 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 12:04:31,854 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 12:04:31,855 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 12:04:31,946 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 12:04:31,947 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 12:04:31,967 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 12:04:31,967 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
