2026-02-07 12:04:55,558 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 12:04:56,382 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 12:04:56,383 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 12:04:56,605 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 12:04:56,605 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 12:04:56,644 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 12:04:56,644 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 12:04:56,686 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 12:04:56,686 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 12:04:56,713 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 12:04:56,713 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:56,734 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 12:04:56,736 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:56,758 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 12:04:56,758 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 12:04:56,777 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 12:04:56,778 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:04:56,805 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 12:04:56,805 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:56,834 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 12:04:56,834 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:56,851 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 12:04:56,852 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 12:04:56,872 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 12:04:56,873 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:04:56,895 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 12:04:56,895 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:56,922 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 12:04:56,923 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:56,945 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 12:04:56,946 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 12:04:56,964 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 12:04:56,965 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:04:56,981 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 12:04:56,981 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 12:04:56,993 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 12:04:56,994 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
2026-02-07 12:04:57,004 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 12:04:57,004 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image is visible'
2026-02-07 12:04:57,016 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 12:04:57,016 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image' has text 'Tap on "Upload image" button to select file'
2026-02-07 12:04:57,029 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-icon at index 0
2026-02-07 12:04:57,029 | BASE_ELEMENT | INFO | Checking  that icon 'Icon image is visible'
2026-02-07 12:04:57,042 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 12:04:57,042 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:57,054 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 12:04:57,054 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:57,065 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 12:04:57,065 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'No image selected'
2026-02-07 12:04:57,073 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 12:04:57,073 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
2026-02-07 12:04:57,080 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 12:04:57,080 | BASE_ELEMENT | INFO | Checking  that text 'Description' has text 'Preview of selected image will be displayed here'
2026-02-07 12:04:57,088 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-title-text at index 0
2026-02-07 12:04:57,088 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:57,096 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-title-text at index 0
2026-02-07 12:04:57,096 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Create course'
2026-02-07 12:04:57,105 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 12:04:57,105 | BUTTON | INFO | Checking that 'button' 'Create button' is disabled
2026-02-07 12:04:57,116 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 12:04:57,116 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:57,124 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 12:04:57,124 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:57,131 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 12:04:57,132 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'No image selected'
2026-02-07 12:04:57,139 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 12:04:57,139 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
2026-02-07 12:04:57,146 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 12:04:57,147 | BASE_ELEMENT | INFO | Checking  that text 'Description' has text 'Preview of selected image will be displayed here'
2026-02-07 12:04:57,155 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-exercises-box-toolbar-title-text at index 0
