2026-02-07 12:04:27,919 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 12:04:29,501 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 12:04:29,501 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 12:04:29,554 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 12:04:29,555 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 12:04:29,568 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 12:04:29,568 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 12:04:29,608 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 12:04:29,608 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 12:04:29,622 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 12:04:29,622 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 12:04:29,739 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 12:04:29,739 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 12:04:29,766 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 12:04:29,766 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
