2026-02-07 12:04:40,893 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 12:04:42,261 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-registration-link at index 0
2026-02-07 12:04:42,261 | BASE_ELEMENT | INFO | Clicking button 'Registation'
2026-02-07 12:04:42,328 | BASE_PAGE | INFO | Checking that current url mathes pattern ".*/#/auth/registration"
2026-02-07 12:04:42,359 | BASE_ELEMENT | INFO | Getting locator with data-testid=authentication-ui-course-title-text at index 0
2026-02-07 12:04:42,359 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'UI Course'
2026-02-07 12:04:42,379 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:42,379 | BASE_ELEMENT | INFO | Checking  that input 'Login input is visible'
2026-02-07 12:04:42,391 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:42,391 | BASE_ELEMENT | INFO | Checking  that input 'Password input is visible'
2026-02-07 12:04:42,399 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 12:04:42,400 | BASE_ELEMENT | INFO | Checking  that button 'Registration is visible'
2026-02-07 12:04:42,407 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-login-link at index 0
2026-02-07 12:04:42,408 | BASE_ELEMENT | INFO | Checking  that button 'Login is visible'
