2026-02-07 12:04:47,097 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 12:04:48,624 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 12:04:48,624 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 12:04:48,708 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 12:04:48,708 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 12:04:48,719 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:48,719 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 12:04:48,753 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:48,753 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 12:04:48,766 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:48,766 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 12:04:48,795 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:48,795 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 12:04:48,803 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 12:04:48,804 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 12:04:48,969 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 12:04:48,994 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 12:04:48,994 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:49,166 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 12:04:49,166 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
