2026-02-07 12:04:55,777 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 12:04:57,410 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 12:04:57,410 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 12:04:57,485 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 12:04:57,485 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 12:04:57,542 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 12:04:57,542 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 12:04:57,572 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 12:04:57,573 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 12:04:57,641 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 12:04:57,641 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 12:04:57,663 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 12:04:57,663 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 12:04:57,730 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 12:04:57,730 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 12:04:57,749 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 12:04:57,750 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 12:04:57,795 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 12:04:57,795 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-07 12:04:57,810 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 12:04:57,810 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-07 12:04:57,850 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 12:04:57,850 | INPUT | INFO | Checking that 'input' 'Input' has value '5'
2026-02-07 12:04:57,864 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 12:04:57,864 | BASE_ELEMENT | INFO | Clicking button 'Create button'
2026-02-07 12:04:57,983 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/courses"
2026-02-07 12:04:58,017 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-menu-button at index 0
2026-02-07 12:04:58,018 | BASE_ELEMENT | INFO | Clicking button 'Menu'
2026-02-07 12:04:58,102 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-edit-menu-item at index 0
2026-02-07 12:04:58,102 | BASE_ELEMENT | INFO | Checking  that button 'Edit course is visible'
