2026-02-07 12:05:01,036 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 12:05:02,606 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 12:05:02,606 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 12:05:02,665 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 12:05:02,666 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 12:05:02,762 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 12:05:02,763 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 12:05:02,783 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 12:05:02,783 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 12:05:02,854 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 12:05:02,854 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 12:05:02,870 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 12:05:02,872 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 12:05:02,916 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 12:05:02,916 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 12:05:02,939 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 12:05:02,939 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 12:05:02,998 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 12:05:02,998 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-07 12:05:03,013 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 12:05:03,013 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-07 12:05:03,065 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
