2026-02-07 12:04:42,666 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 12:04:44,129 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 12:04:44,130 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 12:04:44,214 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 12:04:44,214 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 12:04:44,230 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:44,230 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 12:04:44,295 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:44,296 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 12:04:44,315 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:44,315 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 12:04:44,358 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:44,358 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 12:04:44,368 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 12:04:44,368 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 12:04:44,479 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 12:04:44,649 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 12:04:44,649 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:44,683 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 12:04:44,683 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
