2026-02-07 12:04:39,396 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 12:04:41,032 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 12:04:41,032 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 12:04:41,108 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 12:04:41,108 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 12:04:41,120 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 12:04:41,120 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 12:04:41,152 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 12:04:41,152 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 12:04:41,161 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 12:04:41,162 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 12:04:41,254 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 12:04:41,254 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 12:04:41,266 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 12:04:41,266 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
