2026-02-07 12:04:50,124 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 12:04:51,267 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 12:04:51,267 | INPUT | INFO | Fill 'input' 'Email' to value 'username.test@gmail.com'
2026-02-07 12:04:51,314 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 12:04:51,314 | INPUT | INFO | Checking that 'input' 'Email' has value 'username.test@gmail.com'
2026-02-07 12:04:51,322 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:51,322 | INPUT | INFO | Fill 'input' 'Login input' to value 'Antonio'
2026-02-07 12:04:51,354 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 12:04:51,354 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Antonio'
2026-02-07 12:04:51,360 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:51,361 | INPUT | INFO | Fill 'input' 'Password input' to value '12345678'
2026-02-07 12:04:51,380 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 12:04:51,380 | INPUT | INFO | Checking that 'input' 'Password input' has value '12345678'
2026-02-07 12:04:51,385 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 12:04:51,385 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 12:04:51,453 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 12:04:51,678 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 12:04:53,143 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 12:04:53,143 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 12:04:53,174 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 12:04:53,174 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 12:04:53,181 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 12:04:53,181 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 12:04:53,186 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 12:04:53,187 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 12:04:53,192 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 12:04:53,192 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:53,198 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 12:04:53,198 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:53,203 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 12:04:53,203 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 12:04:53,208 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 12:04:53,208 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:04:53,214 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 12:04:53,214 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:53,219 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 12:04:53,473 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:53,480 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 12:04:53,524 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 12:04:53,530 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 12:04:53,530 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:04:53,536 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 12:04:53,615 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:53,622 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 12:04:53,663 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:53,671 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 12:04:53,671 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 12:04:53,676 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 12:04:53,676 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:04:53,681 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 12:04:53,681 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 12:04:53,686 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 12:04:53,686 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
2026-02-07 12:04:53,691 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 12:04:53,691 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image is visible'
2026-02-07 12:04:53,695 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 12:04:53,695 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image' has text 'Tap on "Upload image" button to select file'
2026-02-07 12:04:53,701 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-icon at index 0
2026-02-07 12:04:53,701 | BASE_ELEMENT | INFO | Checking  that icon 'Icon image is visible'
2026-02-07 12:04:53,706 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 12:04:53,706 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:04:53,711 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 12:04:53,711 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:53,718 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 12:04:53,719 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'No image selected'
