2026-02-07 15:07:06,499 | BASE_PAGE | INFO | Opening the url "./#/dashboard"
2026-02-07 15:07:07,920 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:07,920 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 15:07:07,959 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:07,959 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 15:07:07,969 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:07,969 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 15:07:07,984 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:07,984 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 15:07:07,997 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 15:07:07,997 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:08,008 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:08,008 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:08,016 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:08,016 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 15:07:08,027 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 15:07:08,027 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:08,035 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 15:07:08,035 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:08,046 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:07:08,046 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:08,057 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:07:08,057 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 15:07:08,066 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 15:07:08,067 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:08,077 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 15:07:08,077 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:08,088 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:07:08,088 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:08,095 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
