2026-02-07 15:07:04,618 | BASE_PAGE | INFO | Opening the url "./#/dashboard"
2026-02-07 15:07:06,125 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:06,125 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 15:07:06,180 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:06,180 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 15:07:06,198 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:06,199 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 15:07:06,217 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:06,217 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 15:07:06,235 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 15:07:06,235 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:06,253 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:06,253 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,268 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:06,269 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 15:07:06,281 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 15:07:06,282 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:06,295 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 15:07:06,295 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:06,315 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:07:06,315 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,327 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:07:06,327 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 15:07:06,334 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 15:07:06,335 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:06,343 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 15:07:06,343 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:06,351 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:07:06,351 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,358 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:07:06,359 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 15:07:06,365 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 15:07:06,365 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:06,373 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:07:06,373 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,379 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:07:06,379 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 15:07:06,387 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-widget-title-text at index 0
2026-02-07 15:07:06,387 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,399 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-widget-title-text at index 0
2026-02-07 15:07:06,399 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Students'
2026-02-07 15:07:06,408 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-bar-chart at index 0
2026-02-07 15:07:06,408 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 15:07:06,417 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-widget-title-text at index 0
2026-02-07 15:07:06,417 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,427 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-widget-title-text at index 0
2026-02-07 15:07:06,427 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Activities'
2026-02-07 15:07:06,442 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-line-chart at index 0
2026-02-07 15:07:06,443 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 15:07:06,454 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-widget-title-text at index 0
2026-02-07 15:07:06,454 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,462 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-widget-title-text at index 0
2026-02-07 15:07:06,462 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 15:07:06,473 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-pie-chart at index 0
2026-02-07 15:07:06,473 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 15:07:06,482 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-widget-title-text at index 0
2026-02-07 15:07:06,482 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:06,490 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-widget-title-text at index 0
2026-02-07 15:07:06,490 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Scores'
2026-02-07 15:07:06,500 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-scatter-chart at index 0
2026-02-07 15:07:06,500 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
