2026-02-07 15:06:39,084 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:06:41,050 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:06:41,051 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 15:06:41,146 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:06:41,147 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 15:06:41,162 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:06:41,163 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:06:41,249 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:06:41,250 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:06:41,266 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:06:41,266 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:06:41,397 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:06:41,397 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:06:41,416 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:06:41,416 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
