2026-02-07 15:06:52,088 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 15:06:53,739 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:06:53,739 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 15:06:53,763 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:06:53,763 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 15:06:53,769 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:06:53,770 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 15:06:53,775 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:06:53,775 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 15:06:53,781 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 15:06:53,781 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:06:53,788 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:06:53,788 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:53,795 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:06:53,795 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 15:06:53,800 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 15:06:53,801 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:06:53,806 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 15:06:53,807 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:06:53,812 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:06:53,812 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:53,817 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:06:53,818 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 15:06:53,823 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 15:06:53,823 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:06:53,829 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 15:06:53,829 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:06:53,835 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:06:53,835 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:53,841 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:06:53,842 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 15:06:53,847 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 15:06:53,847 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:06:53,853 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 15:06:53,853 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 15:06:53,858 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 15:06:53,859 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
2026-02-07 15:06:53,864 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 15:06:53,864 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image is visible'
2026-02-07 15:06:53,870 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-title-text at index 0
2026-02-07 15:06:53,870 | BASE_ELEMENT | INFO | Checking  that text 'Tittle image' has text 'Tap on "Upload image" button to select file'
2026-02-07 15:06:53,876 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-icon at index 0
2026-02-07 15:06:53,876 | BASE_ELEMENT | INFO | Checking  that icon 'Icon image is visible'
2026-02-07 15:06:53,882 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 15:06:53,883 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:06:53,888 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 15:06:53,889 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:53,894 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 15:06:53,895 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'No image selected'
2026-02-07 15:06:53,901 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 15:06:53,901 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
2026-02-07 15:06:53,906 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 15:06:53,906 | BASE_ELEMENT | INFO | Checking  that text 'Description' has text 'Preview of selected image will be displayed here'
2026-02-07 15:06:53,912 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-title-text at index 0
2026-02-07 15:06:53,912 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:53,918 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-title-text at index 0
2026-02-07 15:06:53,918 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Create course'
2026-02-07 15:06:53,925 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 15:06:54,076 | BUTTON | INFO | Checking that 'button' 'Create button' is disabled
2026-02-07 15:06:54,086 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-icon at index 0
2026-02-07 15:06:54,086 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:06:54,092 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 15:06:54,092 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:54,097 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-title-text at index 0
2026-02-07 15:06:54,097 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'No image selected'
2026-02-07 15:06:54,102 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 15:06:54,102 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
2026-02-07 15:06:54,107 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-empty-view-description-text at index 0
2026-02-07 15:06:54,108 | BASE_ELEMENT | INFO | Checking  that text 'Description' has text 'Preview of selected image will be displayed here'
2026-02-07 15:06:54,113 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-exercises-box-toolbar-title-text at index 0
2026-02-07 15:06:54,113 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:54,118 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-exercises-box-toolbar-title-text at index 0
2026-02-07 15:06:54,118 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Exercises'
2026-02-07 15:06:54,123 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-exercises-box-toolbar-create-exercise-button at index 0
2026-02-07 15:06:54,124 | BASE_ELEMENT | INFO | Checking  that button 'Create button is visible'
2026-02-07 15:06:54,129 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 15:06:54,129 | BASE_ELEMENT | INFO | Checking  that input 'Input is visible'
2026-02-07 15:06:54,135 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 15:06:54,135 | INPUT | INFO | Checking that 'input' 'Input' has value ''
2026-02-07 15:06:54,141 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 15:06:54,141 | BASE_ELEMENT | INFO | Checking  that input 'Input is visible'
2026-02-07 15:06:54,147 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 15:06:54,148 | INPUT | INFO | Checking that 'input' 'Input' has value ''
2026-02-07 15:06:54,164 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
