2026-02-07 15:07:00,853 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 15:07:02,530 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:02,531 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 15:07:02,583 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:02,583 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 15:07:02,603 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:02,604 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 15:07:02,617 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:02,618 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 15:07:02,629 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 15:07:02,629 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:02,638 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:02,638 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:02,646 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:02,646 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 15:07:02,657 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 15:07:02,657 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:02,670 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 15:07:02,670 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:02,681 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
