2026-02-07 15:06:44,355 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 15:06:45,749 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:06:45,749 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 15:06:45,838 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:06:45,840 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 15:06:45,878 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:06:45,878 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 15:06:45,952 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:06:45,954 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 15:06:45,974 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:06:45,974 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:06:46,050 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:06:46,053 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:06:46,080 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 15:06:46,080 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 15:06:46,174 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 15:06:46,224 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:06:46,224 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:46,367 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:06:46,367 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
