2026-02-07 15:06:48,056 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 15:06:49,713 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:06:49,714 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 15:06:49,797 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:06:49,797 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 15:06:49,809 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:06:49,809 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 15:06:49,845 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:06:49,845 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 15:06:49,854 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:06:49,854 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:06:49,887 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:06:49,887 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:06:49,905 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 15:06:49,905 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 15:06:50,160 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 15:06:50,189 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:06:50,189 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:06:50,404 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:06:50,405 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
