2026-02-07 15:06:32,513 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:06:33,933 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:06:33,934 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 15:06:34,030 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:06:34,030 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 15:06:34,070 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:06:34,070 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:06:34,151 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:06:34,152 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:06:34,182 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:06:34,182 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:06:34,300 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:06:34,300 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:06:34,328 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:06:34,329 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
