2026-02-07 15:07:50,973 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 15:07:52,451 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:52,452 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 15:07:52,478 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:52,478 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 15:07:52,489 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:52,489 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 15:07:52,496 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:52,496 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-07 15:07:52,502 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-07 15:07:52,502 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:52,508 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:52,508 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:52,514 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-07 15:07:52,514 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-07 15:07:52,520 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-07 15:07:52,520 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:52,526 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-07 15:07:52,526 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:52,533 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:07:52,533 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:52,539 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-07 15:07:52,540 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 15:07:52,550 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-07 15:07:52,550 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:52,557 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 15:07:52,557 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:52,564 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:07:52,564 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:52,572 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 15:07:52,572 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 15:07:52,580 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 15:07:52,580 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 15:07:52,589 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 15:07:52,589 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-07 15:07:52,597 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-07 15:07:52,597 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
