2026-02-07 15:07:38,743 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:07:40,310 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:40,310 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 15:07:40,379 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:40,379 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 15:07:40,391 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:40,391 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:07:40,427 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:40,427 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:07:40,437 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:07:40,438 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:07:40,546 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:40,546 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:07:40,561 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:40,561 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
