2026-02-07 15:07:59,931 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 15:08:00,822 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 15:08:00,822 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 15:08:01,095 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 15:08:01,096 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 15:08:01,161 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 15:08:01,161 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 15:08:01,182 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 15:08:01,183 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 15:08:01,251 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 15:08:01,251 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 15:08:01,265 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 15:08:01,265 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 15:08:01,316 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 15:08:01,316 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 15:08:01,351 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 15:08:01,351 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 15:08:01,416 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 15:08:01,416 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-07 15:08:01,430 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 15:08:01,432 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-07 15:08:01,478 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 15:08:01,478 | INPUT | INFO | Checking that 'input' 'Input' has value '5'
2026-02-07 15:08:01,495 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 15:08:01,495 | BASE_ELEMENT | INFO | Clicking button 'Create button'
