2026-02-07 15:07:28,815 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:07:30,569 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:30,569 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 15:07:30,620 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:30,620 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 15:07:30,641 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:30,642 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:07:30,688 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:30,689 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:07:30,700 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:07:30,700 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:07:30,803 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:30,803 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:07:30,825 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:30,825 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
