2026-02-07 15:07:33,259 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:07:34,696 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:34,696 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-07 15:07:34,767 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:34,767 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-07 15:07:34,780 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:34,780 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:07:34,838 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:34,838 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:07:34,850 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:07:34,850 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:07:34,924 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:34,925 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:07:34,934 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:34,934 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
