2026-02-07 15:07:43,271 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 15:07:44,635 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:07:44,635 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 15:07:44,711 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:07:44,711 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 15:07:44,736 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:07:44,736 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 15:07:44,815 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:07:44,815 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 15:07:44,841 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:07:44,841 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:07:44,917 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:07:44,917 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:07:44,929 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 15:07:44,929 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 15:07:45,023 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 15:07:45,065 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:07:45,065 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:45,180 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:07:45,180 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
