2026-02-07 15:07:46,786 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 15:07:48,466 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:07:48,466 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-07 15:07:48,529 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:07:48,529 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-07 15:07:48,538 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:07:48,538 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-07 15:07:48,563 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:07:48,564 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-07 15:07:48,572 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:07:48,572 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:07:48,597 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:07:48,597 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:07:48,607 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 15:07:48,607 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 15:07:48,743 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 15:07:48,771 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:07:48,772 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:48,929 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 15:07:48,929 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
