2026-02-07 15:07:47,481 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-07 15:07:48,647 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:07:48,648 | INPUT | INFO | Fill 'input' 'Email' to value 'username.test@gmail.com'
2026-02-07 15:07:48,708 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-07 15:07:48,708 | INPUT | INFO | Checking that 'input' 'Email' has value 'username.test@gmail.com'
2026-02-07 15:07:48,713 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:07:48,714 | INPUT | INFO | Fill 'input' 'Login input' to value 'Antonio'
2026-02-07 15:07:48,747 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-07 15:07:48,747 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Antonio'
2026-02-07 15:07:48,754 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:07:48,754 | INPUT | INFO | Fill 'input' 'Password input' to value '12345678'
2026-02-07 15:07:48,777 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-07 15:07:48,777 | INPUT | INFO | Checking that 'input' 'Password input' has value '12345678'
2026-02-07 15:07:48,782 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-07 15:07:48,783 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-07 15:07:48,859 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-07 15:07:49,207 | BASE_PAGE | INFO | Opening the url "./#/courses"
2026-02-07 15:07:50,572 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-icon at index 0
2026-02-07 15:07:50,572 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 15:07:50,597 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-title-text at index 0
2026-02-07 15:07:50,597 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 15:07:50,605 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-title-text at index 0
2026-02-07 15:07:50,605 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'There is no results'
2026-02-07 15:07:50,610 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-description-text at index 0
2026-02-07 15:07:50,610 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
2026-02-07 15:07:50,615 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-description-text at index 0
2026-02-07 15:07:50,615 | BASE_ELEMENT | INFO | Checking  that text 'Description' has text 'Results from the load test pipeline will be displayed here'
2026-02-07 15:07:50,619 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:50,619 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-07 15:07:50,624 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-07 15:07:50,624 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-07 15:07:50,629 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-07 15:07:50,629 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-07 15:07:50,633 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
