2026-02-07 15:07:54,909 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-07 15:07:56,302 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-07 15:07:56,303 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-07 15:07:56,362 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 15:07:56,363 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-07 15:07:56,412 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-07 15:07:56,412 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-07 15:07:56,432 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 15:07:56,432 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-07 15:07:56,488 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-07 15:07:56,489 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-07 15:07:56,499 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 15:07:56,499 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-07 15:07:56,545 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 15:07:56,546 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-07 15:07:56,557 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 15:07:56,557 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-07 15:07:56,590 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
