2026-02-07 15:07:40,525 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:07:42,228 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:42,228 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 15:07:42,332 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:42,332 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 15:07:42,354 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:42,354 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 15:07:42,430 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:42,431 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 15:07:42,442 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:07:42,442 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:07:42,530 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:42,531 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:07:42,540 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:42,540 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
