2026-02-07 15:07:31,180 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:07:32,694 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:32,694 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-07 15:07:32,739 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:32,739 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-07 15:07:32,749 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:32,749 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-07 15:07:32,852 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:32,852 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-07 15:07:32,868 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:07:32,868 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:07:32,943 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:32,943 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:07:32,962 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:32,962 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
