2026-02-07 15:07:36,480 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-07 15:07:38,128 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:38,128 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-07 15:07:38,227 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-07 15:07:38,228 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-07 15:07:38,241 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:38,242 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-07 15:07:38,279 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-07 15:07:38,279 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-07 15:07:38,290 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-07 15:07:38,290 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-07 15:07:38,385 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:38,385 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-07 15:07:38,396 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-07 15:07:38,396 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
