2026-02-15 12:58:01,621 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:58:03,526 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:03,526 | INPUT | INFO | Fill 'input' 'Email' to value 'user_mail@gmail.com'
2026-02-15 12:58:03,596 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:03,596 | INPUT | INFO | Checking that 'input' 'Email' has value 'user_mail@gmail.com'
2026-02-15 12:58:03,609 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:03,610 | INPUT | INFO | Fill 'input' 'Login input' to value 'username'
2026-02-15 12:58:03,694 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:03,694 | INPUT | INFO | Checking that 'input' 'Login input' has value 'username'
2026-02-15 12:58:03,728 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:03,728 | INPUT | INFO | Fill 'input' 'Password input' to value 'password123'
2026-02-15 12:58:03,804 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:03,804 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password123'
2026-02-15 12:58:03,828 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:58:03,828 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:58:03,965 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:58:03,976 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:03,976 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:04,353 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:04,353 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-15 12:58:04,388 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:04,388 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-15 12:58:04,428 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:04,428 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-15 12:58:04,458 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:04,458 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-15 12:58:04,480 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:04,480 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, username!'
2026-02-15 12:58:04,509 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
