2026-02-15 12:58:06,510 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:08,104 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:08,104 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-15 12:58:08,182 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:08,183 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-15 12:58:08,197 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:08,197 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:08,262 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:08,262 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:08,273 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:08,273 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:08,357 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:08,358 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:08,373 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:08,373 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
