2026-02-15 12:58:04,273 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:05,894 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:05,894 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-15 12:58:05,947 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:05,948 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-15 12:58:05,985 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:05,985 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-15 12:58:06,048 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:06,048 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-15 12:58:06,069 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:06,070 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:06,168 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:06,168 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:06,181 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:06,181 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
