2026-02-15 12:58:19,969 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:58:21,012 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:21,013 | INPUT | INFO | Fill 'input' 'Email' to value 'username.test@gmail.com'
2026-02-15 12:58:21,060 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:21,060 | INPUT | INFO | Checking that 'input' 'Email' has value 'username.test@gmail.com'
2026-02-15 12:58:21,066 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:21,066 | INPUT | INFO | Fill 'input' 'Login input' to value 'Antonio'
2026-02-15 12:58:21,089 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:21,089 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Antonio'
2026-02-15 12:58:21,096 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:21,096 | INPUT | INFO | Fill 'input' 'Password input' to value '12345678'
2026-02-15 12:58:21,113 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:21,113 | INPUT | INFO | Checking that 'input' 'Password input' has value '12345678'
2026-02-15 12:58:21,120 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:58:21,121 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:58:21,183 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:58:21,507 | BASE_PAGE | INFO | Opening the url "./#/courses"
2026-02-15 12:58:22,512 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-icon at index 0
2026-02-15 12:58:22,513 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:22,677 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-title-text at index 0
2026-02-15 12:58:22,678 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:22,685 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-title-text at index 0
2026-02-15 12:58:22,685 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'There is no results'
2026-02-15 12:58:22,695 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-description-text at index 0
2026-02-15 12:58:22,695 | BASE_ELEMENT | INFO | Checking  that text 'Description is visible'
2026-02-15 12:58:22,704 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-list-empty-view-description-text at index 0
2026-02-15 12:58:22,704 | BASE_ELEMENT | INFO | Checking  that text 'Description' has text 'Results from the load test pipeline will be displayed here'
2026-02-15 12:58:22,711 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:22,711 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-15 12:58:22,721 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:22,721 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-15 12:58:22,728 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:22,728 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-15 12:58:22,734 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:22,734 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-15 12:58:22,739 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-15 12:58:22,739 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:22,745 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:58:22,745 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:22,754 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:58:22,754 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-15 12:58:22,761 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-15 12:58:22,761 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:58:22,766 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-15 12:58:22,766 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:22,771 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:58:22,771 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:22,776 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:58:22,776 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-15 12:58:22,781 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-15 12:58:22,781 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:58:22,786 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-15 12:58:22,786 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:22,792 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
