2026-02-15 12:58:22,021 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:58:23,867 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:23,867 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-15 12:58:23,959 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:23,959 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-15 12:58:23,974 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:23,975 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-15 12:58:24,020 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:24,020 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-15 12:58:24,034 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:24,034 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:24,067 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:24,068 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:24,083 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:58:24,084 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:58:24,272 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:58:24,300 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:24,301 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:24,476 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:24,477 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
