2026-02-15 12:58:06,925 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:58:08,625 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:08,625 | INPUT | INFO | Fill 'input' 'Email' to value 'user_mail@gmail.com'
2026-02-15 12:58:08,701 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:08,701 | INPUT | INFO | Checking that 'input' 'Email' has value 'user_mail@gmail.com'
2026-02-15 12:58:08,714 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:08,714 | INPUT | INFO | Fill 'input' 'Login input' to value 'username'
2026-02-15 12:58:08,750 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:08,750 | INPUT | INFO | Checking that 'input' 'Login input' has value 'username'
2026-02-15 12:58:08,764 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:08,765 | INPUT | INFO | Fill 'input' 'Password input' to value 'password123'
2026-02-15 12:58:08,800 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:08,801 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password123'
2026-02-15 12:58:08,812 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:58:08,812 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:58:08,931 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:58:09,016 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:09,016 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:09,187 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:09,187 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-15 12:58:09,214 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:09,215 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-15 12:58:09,253 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:09,253 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-15 12:58:09,278 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:09,279 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-15 12:58:09,289 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:09,289 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, username!'
2026-02-15 12:58:09,303 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-15 12:58:09,303 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:09,320 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:58:09,321 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:09,347 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:58:09,348 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-15 12:58:09,369 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-15 12:58:09,369 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:58:09,389 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-15 12:58:09,389 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:09,408 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:58:09,408 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:09,432 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:58:09,432 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-15 12:58:09,450 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-15 12:58:09,451 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:58:09,472 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-15 12:58:09,473 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:09,487 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-15 12:58:09,487 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:09,504 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-15 12:58:09,504 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-15 12:58:09,522 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-15 12:58:09,522 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:58:09,537 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-15 12:58:09,537 | BASE_ELEMENT | INFO | Clicking button 'Button'
2026-02-15 12:58:09,627 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/auth/login"
2026-02-15 12:58:09,655 | BASE_ELEMENT | INFO | Getting locator with data-testid=authentication-ui-course-title-text at index 0
2026-02-15 12:58:09,656 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'UI Course'
2026-02-15 12:58:09,668 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:09,668 | BASE_ELEMENT | INFO | Checking  that input 'Login input is visible'
2026-02-15 12:58:09,678 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:09,678 | BASE_ELEMENT | INFO | Checking  that input 'Password input is visible'
2026-02-15 12:58:09,688 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:09,688 | BASE_ELEMENT | INFO | Checking  that button 'Auth is visible'
2026-02-15 12:58:09,705 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-registration-link at index 0
2026-02-15 12:58:09,705 | BASE_ELEMENT | INFO | Checking  that button 'Registation is visible'
2026-02-15 12:58:09,715 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:09,716 | INPUT | INFO | Fill 'input' 'Login input' to value 'user_mail@gmail.com'
2026-02-15 12:58:09,741 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:09,741 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user_mail@gmail.com'
2026-02-15 12:58:09,750 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:09,751 | INPUT | INFO | Fill 'input' 'Password input' to value 'password123'
2026-02-15 12:58:09,777 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:09,778 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password123'
2026-02-15 12:58:09,789 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
