2026-02-15 12:58:14,433 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:15,387 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:15,387 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-15 12:58:15,667 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:15,667 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-15 12:58:15,732 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:15,733 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-15 12:58:15,813 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:15,813 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-15 12:58:15,838 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:15,838 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:15,969 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:15,969 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:15,986 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:15,986 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
